1024,923.959,183.988,5.02185,,,Array_size,SpeedUp
2048,1780.59,348.002,5.1166,,,1024,5.02185
4096,1778.43,347.754,5.11403,,,2048,5.1166
8192,1787.1,347.644,5.14059,,,4096,5.11403
16384,1776.45,340.927,5.21064,,,8192,5.14059
32768,814.868,159.789,5.09966,,,16384,5.21064
65536,1615.48,332.546,4.85792,,,32768,5.09966
131072,1664.21,344.845,4.82597,,,65536,4.85792
262144,1608.26,332.695,4.83405,,,131072,4.82597
524288,1635.67,341.06,4.79583,,,262144,4.83405
1048576,1659.77,343.531,4.83152,,,524288,4.79583
2097152,1186.37,339.433,3.49514,,,1048576,4.83152
4194304,942.282,338.39,2.7846,,,2097152,3.49514
8388608,931.16,324.168,2.87246,,,4194304,2.7846
,,,,,,8388608,2.87246
